id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L02-11,Main,At the end of the day," I had to admit the lot looked much better.,하루가 끝날 때, 나는 그 부지가 훨씬 좋아 보인다는 것을 인정해야 했다.,G0209",G0209,비교급 강조,much + 비교급 (better),중,33,At the end | of the day," I had to admit the lot looked much better.,하루가 | 끝날 때, 나는 그 부지가 훨씬 좋아 보인다는 것을 인정해야 했다.,G0209",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-12,Main,I stopped complaining when I found the plants had started popping up!,식물들이 싹을 틔우기 시작한 것을 발견했을 때 나는 불평을 그만두었다!,G0208,과거완료 시제,had + started V-ing,상,34,I stopped complaining when I found | the plants had started popping up!,식물들이 싹을 틔우기 시작한 것을 | 발견했을 때 나는 불평을 그만두었다!,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-13,Main,The bean plants grew an inch," and the tomatoes doubled in size in just a few days.,콩 식물들은 1인치 자랐고, 토마토는 불과 며칠 만에 크기가 두 배가 되었다.,G0210",G0210,성장/변화 표현,double in size,하,34,The bean plants | grew an inch," and the tomatoes doubled in size in just a few | days.,콩 식물들은 1인치 자랐고, 토마토는 불과 며칠 만에 크기가 두 배가 되었다.,G0210",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-14,Main,An ugly and dirty lot that people didn’t like has become a pretty garden for everyone.,사람들이 싫어하던 추하고 더러운 부지가 모두를 위한 예쁜 정원이 되었다.,G0211,현재완료 결과,has become,중,35,An ugly and dirty lot that people didn’t | like has become a pretty garden for everyone.,사람들이 싫어하던 추하고 더러운 부지가 | 모두를 위한 예쁜 정원이 되었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-15,Focus In,I think chicken is much tastier than sandwiches.,나는 치킨이 샌드위치보다 훨씬 더 맛있다고 생각한다.,G0209,비교급 강조,much + 비교급 (tastier),중,36,I think chicken is | much tastier than sandwiches.,나는 치킨이 샌드위치보다 | 훨씬 더 맛있다고 생각한다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-16,Focus In,He couldn’t open the door because he had lost his key.,그는 열쇠를 잃어버렸었기 때문에 문을 열 수 없었다.,G0208,과거완료 시제,couldn't ... because had + p.p.,상,37,He couldn’t open the door | because he had lost his key.,그는 열쇠를 잃어버렸었기 때문에 | 문을 열 수 없었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-17,Grammar,Oksig is much cuter than real corn.,옥식이는 실제 옥수수보다 훨씬 더 귀엽다.,G0209,비교급 강조,much + comparative,하,40,Oksig is much | cuter than real corn.,옥식이는 실제 옥수수보다 | 훨씬 더 귀엽다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-18,Grammar,It is much more beautiful than you think.,그것은 여러분이 생각하는 것보다 훨씬 더 아름답다.,G0209,비교급 강조,much + more beautiful,중,41,It is much more | beautiful than you think.,그것은 여러분이 생각하는 | 것보다 훨씬 더 아름답다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L02-19,Listening,Thank you for teaching me how to ride a bike.,자전거 타는 법을 가르쳐 줘서 고마워.,G0203,감사 표현,Thank you for V-ing,하,28,Thank you for teaching me | how to ride a bike.,자전거 타는 법을 | 가르쳐 줘서 고마워.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-20,Main,The only way to do it is just to start.,그것을 하는 유일한 방법은 그냥 시작하는 것이다.,G0212,to부정사의 명사적 용법,is to start,하,33,The only way to do | it is just to start.,그것을 하는 유일한 | 방법은 그냥 시작하는 것이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-021,Reading,I complained the whole day.,나는 온종일 불평했습니다.,G0205,사역동사 / 비교급 강조,make + O + V / far better,중,32,I complained | the whole day.,나는 | 온종일 불평했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-022,Reading,I didn’t understand why we were working on this place.,나는 왜 우리가 이 장소에 매달리는지 이해할 수 없었습니다.,G0205,사역동사 / 비교급 강조,make + O + V / far better,중,32,I didn’t understand why we | were working on this place.,나는 왜 우리가 이 | 장소에 매달리는지 이해할 수 없었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-023,Reading,"It was just the ugly, old, empty lot across from Johnny’s Shop.",그곳은 조니네 가게 건너편에 있는 지저분해 보이고 오래된 빈 터에 불과했습니다.,G0205,사역동사 / 비교급 강조,make + O + V / far better,중,32,"It was just the ugly, old, | empty lot across from Johnny’s Shop.",그곳은 조니네 가게 건너편에 있는 | 지저분해 보이고 오래된 빈 터에 불과했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-024,Reading,"It was full of wild plants, fast food wraps, old newspapers, broken glass, and every other kind of dirty trash you can imagine.","그곳은 야생 식물, 패스트푸드 포장지, 헌 신문, 깨진 유리 등 당신이 상상할 수 있는 온갖 종류의 더러운 쓰레기들로 가득 차 있었습니다.",G0205,사역동사 / 비교급 강조,make + O + V / far better,중,32,"It was full of wild plants, fast food wraps, old newspapers, | broken glass, and every other kind of dirty trash you can imagine.","그곳은 야생 식물, 패스트푸드 포장지, 헌 신문, 깨진 유리 등 | 당신이 상상할 수 있는 온갖 종류의 더러운 쓰레기들로 가득 차 있었습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-025,Reading,"As I looked at it that first morning, I thought, “I bet there are snakes in there, too.”","그 첫날 아침, 나는 그것을 보면서 ""여기에 분명히 뱀도 있을 거야""라고 생각했습니다.",G0205,사역동사 / 비교급 강조,make + O + V / far better,중,32,"As I looked at it that first morning, I | thought, “I bet there are snakes in there, too.”","그 첫날 아침, 나는 그것을 보면서 | ""여기에 분명히 뱀도 있을 거야""라고 생각했습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-026,Reading,There were twenty of us – all ages and sizes – ready to work that day.,"그날 일할 준비를 마친, 모든 연령대와 체격의 우리들 20명이 있었습니다.",G0207,과거의 추측 / 명사적 용법,didn't think that / is to start,하,33,There were twenty of us – all ages | and sizes – ready to work that day.,"그날 일할 준비를 마친, 모든 | 연령대와 체격의 우리들 20명이 있었습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-027,Reading,We were all wondering where to begin.,우리 모두는 어디서부터 시작해야 할지 궁금해했습니다.,G0207,과거의 추측 / 명사적 용법,didn't think that / is to start,하,33,We were all | wondering where to begin.,우리 모두는 어디서부터 | 시작해야 할지 궁금해했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-028,Reading,Then Mr.,그때 에르난데스 씨가 말했습니다.,G0207,과거의 추측 / 명사적 용법,didn't think that / is to start,하,33,Then | Mr.,그때 에르난데스 | 씨가 말했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-029,Reading,We filled fifty trash bags with waste and were ready to pull wild plants.,우리는 50개의 쓰레기 봉투를 폐기물로 채웠고 야생 식물을 뽑을 준비가 되었습니다.,G0208,과거완료 / 비교급 강조,had made / much better,상,33,We filled fifty trash bags with waste | and were ready to pull wild plants.,우리는 50개의 쓰레기 봉투를 폐기물로 | 채웠고 야생 식물을 뽑을 준비가 되었습니다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L02-030,Reading,"As we pulled and pulled, dust filled the air and made us sneeze.","우리가 계속해서 뽑는 동안, 먼지가 공기 중에 가득 찼고 우리를 재채기하게 만들었습니다.",G0208,과거완료 / 비교급 강조,had made / much better,상,33,"As we pulled and pulled, dust | filled the air and made us sneeze.","우리가 계속해서 뽑는 동안, 먼지가 공기 | 중에 가득 찼고 우리를 재채기하게 만들었습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-031,Reading,That first day was the toughest.,그 첫날이 가장 힘들었습니다.,G0208,과거완료 시제,had started,상,34,That first day | was the toughest.,그 첫날이 | 가장 힘들었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-032,Reading,"On the weekends that followed, we made rows, planted flower and vegetable seeds, and watered them.",이어지는 주말 동안 우리는 이랑을 만들고 꽃과 야채 씨앗을 심었으며 물을 주었습니다.,G0208,과거완료 시제,had started,상,34,"On the weekends that followed, we made rows, | planted flower and vegetable seeds, and watered them.",이어지는 주말 동안 우리는 이랑을 만들고 | 꽃과 야채 씨앗을 심었으며 물을 주었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-033,Reading,"First, the lettuce and then the beans and the tomatoes.","먼저 상추, 그다음은 콩과 토마토였습니다.",G0208,과거완료 시제,had started,상,34,"First, the lettuce and then | the beans and the tomatoes.","먼저 상추, | 그다음은 콩과 토마토였습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-034,Reading,They grew so fast.,그것들은 아주 빨리 자랐습니다.,G0208,과거완료 시제,had started,상,34,They grew | so fast.,그것들은 아주 | 빨리 자랐습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-035,Reading,I couldn’t believe it!,나는 믿을 수 없었습니다!,G0208,과거완료 시제,had started,상,34,I couldn’t | believe it!,나는 믿을 | 수 없었습니다!,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-036,Reading,"Now, two months later, I like to go there every day to see what new flowers are ready to pop up.","이제 두 달 후, 나는 어떤 새로운 꽃들이 피어날 준비가 되었는지를 보러 매일 그곳에 가는 것을 좋아합니다.",G0212,to부정사의 용법 / 어휘,to see / sight,하,34,"Now, two months later, I like to go there every | day to see what new flowers are ready to pop up.","이제 두 달 후, 나는 어떤 새로운 꽃들이 | 피어날 준비가 되었는지를 보러 매일 그곳에 가는 것을 좋아합니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-037,Reading,Lots of people in the neighborhood meet there to enjoy the sights and to talk together.,동네의 많은 사람이 경치를 즐기고 함께 이야기 나누기 위해 그곳에서 만납니다.,G0212,to부정사의 용법 / 어휘,to see / sight,하,34,Lots of people in the neighborhood meet there | to enjoy the sights and to talk together.,동네의 많은 사람이 경치를 즐기고 | 함께 이야기 나누기 위해 그곳에서 만납니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-038,Extra/Extracted,Title: Let’s Make Our Town Better --- Lesson 02 --- [Page 27] A     Listen and write.,제목: 우리 마을을 더 좋게 만들자 --- Lesson 02 --- [27 페이지] A 듣고 쓰세요.,,비교급 / 사역동사,Comparative / make/have/let + O + V,중,27,Title: Let’s Make Our Town Better --- Lesson 02 --- | [Page 27] A     Listen and write.,제목: 우리 마을을 더 좋게 만들자 --- | Lesson 02 --- [27 페이지] A 듣고 쓰세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-039,Extra/Extracted,׮ Start O f f Your Turn Talk with your partner.,׮ 귀하의 차례 시작 파트너와 대화하십시오.,,비교급,Comparative,중,27,׮ Start O f f | Your Turn Talk with your partner.,׮ 귀하의 차례 | 시작 파트너와 대화하십시오.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-040,Extra/Extracted,Listen & Talk B     Listen and choose.,듣고 말하기 B 듣고 선택하세요.,,일반 문장,-,중,27,Listen & Talk B  |    Listen and choose.,듣고 말하기 | B 듣고 선택하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-041,Extra/Extracted,Thank you for helping me.,도와주셔서 감사합니다.,,현재분사/동명사,V-ing,중,29,Thank you | for helping me.,도와주셔서 | 감사합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-042,Extra/Extracted,Speak Up Look and talk.,보고 이야기하십시오.,,일반 문장,-,중,28,Speak Up | Look and talk.,보고 | 이야기하십시오.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-043,Extra/Extracted,Mission guide visitors paint the wall cook for the elderly play with the children DMBTTQBSUZ DMVCGFTUJWBM DMBTTGJFMEUSJQ TQPSUTEBZ make sandwiches take pictures of our activities make posters run a 100 meter race A Let’s talk about the volunteer work for our town.,미션 가이드 방문자 벽 페인트 칠하기 노인들을 위한 요리사 아이들과 놀기 DMBTT QBSUZ DMVC GFTUJWBM DMBTT GJFME USJQ TQPSUT EBZ 샌드위치 만들기 우리 활동 사진 찍기 포스터 만들기 100미터 경주 A 우리 마을을 위한 자원 봉사 활동에 대해 이야기합시다.,,비교급 / 사역동사,Comparative / make/have/let + O + V,중,28,Mission guide visitors paint the wall cook for the elderly play with the children DMBTTQBSUZ DMVCGFTUJWBM DMBTTGJFMEUSJQ TQPSUTEBZ make sandwiches take | pictures of our activities make posters run a 100 meter race A Let’s talk about the volunteer work for our town.,미션 가이드 방문자 벽 페인트 칠하기 노인들을 위한 요리사 아이들과 놀기 DMBTT QBSUZ DMVC GFTUJWBM DMBTT GJFME USJQ TQPSUT | EBZ 샌드위치 만들기 우리 활동 사진 찍기 포스터 만들기 100미터 경주 A 우리 마을을 위한 자원 봉사 활동에 대해 이야기합시다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-044,Extra/Extracted,Who will guide visitors?,누가 방문객을 안내할 것인가?,,관계대명사 / 조동사,Relative Pronoun / Modal + V,중,28,Who will | guide visitors?,누가 방문객을 | 안내할 것인가?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-045,Extra/Extracted,Let’s Make Our Town Better 29 [Page 29] StepU   p Your Turn A  My cat has some trouble in its mouth.,우리 마을을 더 좋게 만들자 29 [페이지 29] 차례를 밟으세요 A 고양이 입에 문제가 있어요.,,비교급 / 사역동사,Comparative / make/have/let + O + V,중,28,Let’s Make Our Town Better 29 [Page 29] StepU   p | Your Turn A  My cat has some trouble in its mouth.,우리 마을을 더 좋게 만들자 29 [페이지 | 29] 차례를 밟으세요 A 고양이 입에 문제가 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-046,Extra/Extracted,B  How about taking him to the animal doctor?,B 동물병원에 데려가는 게 어때요?,,to부정사 / 의문사 구문,to + V / Wh-word,중,29,B  How about taking | him to the animal doctor?,B 동물병원에 | 데려가는 게 어때요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-047,Extra/Extracted,Üaround  about     loud     sound found   shout     mouth mountain Ü double  enough t ouch trouble y oung Say It Right Real-life Scene Let‛s talk about how we can make our town better.,Ü 주변에서 큰 소리가 나고 소리지르는 산 Ü 두 배로 터치 문제가 발생합니다. Say It Right 실제 장면 우리 마을을 더 좋게 만들 수 있는 방법에 대해 이야기해 보겠습니다.,,의문사 구문 / 조동사,Wh-word / Modal + V,중,29,Üaround  about     loud     sound found   shout     mouth mountain | Ü double  enough t ouch trouble y oung Say It Right Real-life Scene Let‛s talk about how we can make our town better.,Ü 주변에서 큰 소리가 나고 소리지르는 산 Ü 두 배로 터치 문제가 발생합니다. Say | It Right 실제 장면 우리 마을을 더 좋게 만들 수 있는 방법에 대해 이야기해 보겠습니다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L02-048,Extra/Extracted,It‛ll be helpful for the elderly.,노인들에게 도움이 될 것입니다.,,일반 문장,-,중,29,It‛ll be helpful | for the elderly.,노인들에게 도움이 | 될 것입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-049,Extra/Extracted,"We can put a bench there, too.",거기에 벤치도 놓을 수 있어요.,,조동사,Modal + V,중,29,"We can put | a bench there, too.",거기에 벤치도 | 놓을 수 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-050,Extra/Extracted,Let me tell you ﬁ  rst.,먼저 말씀드리겠습니다.,,사역동사,make/have/let + O + V,중,29,Let me tell | you ﬁ  rst.,먼저 | 말씀드리겠습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-051,Extra/Extracted,There‛s too much trash at the bus stop.,버스정류장에 쓰레기가 너무 많아요.,,일반 문장,-,중,29,There‛s too much trash | at the bus stop.,버스정류장에 쓰레기가 | 너무 많아요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-052,Extra/Extracted,How about putting some ﬂ  ower pots around the bench?,벤치 주위에 화분을 몇 개 놓는 건 어때요?,,의문사 구문 / 현재분사/동명사,Wh-word / V-ing,중,29,How about putting some ﬂ |  ower pots around the bench?,벤치 주위에 화분을 몇 | 개 놓는 건 어때요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-053,Extra/Extracted,They‛ll make the bus stop more beautiful.,버스 정류장을 더욱 아름답게 만들어 줄 거예요.,,비교급 / 사역동사,Comparative / make/have/let + O + V,중,29,They‛ll make the | bus stop more beautiful.,버스 정류장을 더욱 | 아름답게 만들어 줄 거예요.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L02-054,Extra/Extracted,"Then, shall we start tomorrow?",그럼 내일부터 시작해볼까?,,일반 문장,-,중,29,"Then, shall | we start tomorrow?",그럼 | 내일부터 시작해볼까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-055,Extra/Extracted,Town Meeting for the Neighborhood Project 30 Lesson 2 [Page 30] Fun Time Board Game cook bibimbap serve pajeon have a cart race serve noodles make balloon animals have a bike race play catch make cotton candy pull the rope make lassi do a funny dance fly kites play soccer spin a hula hoop play the ukulele ഥ	UPXO How to Play Sample Dialog A  Let’s talk about the town party.,동네모임 프로젝트 30 2과 [30쪽] 즐거운 시간 보드게임 요리사 비빔밥 파전 먹기 수레 경주 국수 먹기 풍선 동물 만들기 자전거 경주 놀이 잡기 솜사탕 줄 당기기 라씨 우스꽝스러운 댄스 날리기 연 놀이 축구 돌리기 훌라후프 연주 우쿨렐레 연주 ഥ UPXO 연주 방법 샘플 대화 A 타운 파티에 대해 이야기해 봅시다.,,to부정사 / 의문사 구문,to + V / Wh-word,중,29,Town Meeting for the Neighborhood Project 30 Lesson 2 [Page 30] Fun Time Board Game cook bibimbap serve pajeon have a cart race serve noodles make balloon animals have a bike race play catch make | cotton candy pull the rope make lassi do a funny dance fly kites play soccer spin a hula hoop play the ukulele ഥ	UPXO How to Play Sample Dialog A  Let’s talk about the town party.,동네모임 프로젝트 30 2과 [30쪽] 즐거운 시간 보드게임 요리사 비빔밥 파전 먹기 수레 경주 국수 먹기 풍선 동물 만들기 자전거 경주 놀이 잡기 솜사탕 줄 | 당기기 라씨 우스꽝스러운 댄스 날리기 연 놀이 축구 돌리기 훌라후프 연주 우쿨렐레 연주 ഥ UPXO 연주 방법 샘플 대화 A 타운 파티에 대해 이야기해 봅시다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-056,Extra/Extracted,Why don’t we cook bibimbap?,우리 비빔밥 만들어 보는 건 어때요?,,의문사 구문,Wh-word,중,30,Why don’t | we cook bibimbap?,우리 비빔밥 만들어 | 보는 건 어때요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-057,Extra/Extracted,Thank you for your idea.,당신의 아이디어에 감사드립니다.,,일반 문장,-,중,29,Thank you | for your idea.,당신의 | 아이디어에 감사드립니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-058,Extra/Extracted,"” Then, he divided the lot into fou r parts with string and assigned five people to each part.",그런 다음 그는 끈으로 부지를 네 부분으로 나누고 각 부분에 5명을 배정했습니다.,,to부정사 / 현재분사/동명사,to + V / V-ing,중,32,"” Then, he divided the lot into fou r | parts with string and assigned five people to each part.",그런 다음 그는 끈으로 부지를 네 | 부분으로 나누고 각 부분에 5명을 배정했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-059,Extra/Extracted,awful     mess     divide ...,끔찍한 혼란 분열 ...,,일반 문장,-,중,32,awful     mess |     divide ...,끔찍한 혼란 | 분열 ...,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-060,Extra/Extracted,into ~     assign     sweaty     fill     trash bag     be ready to dust     sneeze     admit Activity Let’s Change the Dirty Lot into a Pretty Garden!,~에 땀에 젖어 쓰레기봉투 할당 먼지 재채기 인정 활동 더러운 곳을 예쁜 정원으로 바꾸자!,,to부정사,to + V,중,32,into ~     assign     sweaty     fill     trash bag   |   be ready to dust     sneeze     admit Activity Let’s Change the Dirty Lot into a Pretty Garden!,~에 땀에 젖어 쓰레기봉투 할당 먼지 재채기 | 인정 활동 더러운 곳을 예쁜 정원으로 바꾸자!,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-061,Extra/Extracted,"17 • Where: at the empty  across from • What to do: to  wild plants and  the lot • What to bring:  , trash bags • How: We’ll  the lot into four parts.","17 • 장소: 건너편 빈 공간 • 해야 할 일: 야생 식물과 부지 • 가져갈 것: , 쓰레기 봉투 • 방법: 부지를 네 부분으로 나눕니다.",,to부정사 / 의문사 구문,to + V / Wh-word,중,32,"17 • Where: at the empty  across from • What to do: to  wild plants and  | the lot • What to bring:  , trash bags • How: We’ll  the lot into four parts.","17 • 장소: 건너편 빈 공간 • 해야 할 일: 야생 식물과 | 부지 • 가져갈 것: , 쓰레기 봉투 • 방법: 부지를 네 부분으로 나눕니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-062,Extra/Extracted,Five people will clean each part.,5명이 각 부품을 청소합니다.,,조동사,Modal + V,중,32,Five people will | clean each part.,5명이 각 | 부품을 청소합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-063,Extra/Extracted,"If you have any questions, call Mr.",궁금한 점이 있으시면 Mr.에게 전화하세요.,,조건의 접속사 / 사역동사,If/Unless + S + V / make/have/let + O + V,중,32,"If you have | any questions, call Mr.",궁금한 점이 | 있으시면 Mr.에게 전화하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-064,Extra/Extracted,tough     row     pop up     double     sight Talk About It What do you want to do to make your town better?,터프 로우 팝업 이중 조준경 이야기하기 당신의 마을을 더 좋게 만들기 위해 무엇을 하고 싶나요?,,to부정사 / 의문사 구문,to + V / Wh-word,중,29,tough     row     pop up     double  |    sight Talk About It What do you want to do to make your town better?,터프 로우 팝업 이중 조준경 이야기하기 당신의 | 마을을 더 좋게 만들기 위해 무엇을 하고 싶나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-065,Extra/Extracted,"CULTURE Amish (Canada, USA) Arhuaco (Colombia) Cheonghakdong (Korea) village culture They teach children Korean traditions in seodang.","문화 아미쉬(캐나다, 미국) 아르후아코(콜롬비아) 청학동(한국) 마을 문화 서당에서 아이들에게 한국 전통을 가르칩니다.",,일반 문장,-,중,33,"CULTURE Amish (Canada, USA) Arhuaco (Colombia) Cheonghakdong (Korea) | village culture They teach children Korean traditions in seodang.","문화 아미쉬(캐나다, 미국) 아르후아코(콜롬비아) 청학동(한국) 마을 | 문화 서당에서 아이들에게 한국 전통을 가르칩니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-066,Extra/Extracted,They work very hard and don’t use machines.,그들은 매우 열심히 일하고 기계를 사용하지 않습니다.,,일반 문장,-,중,33,They work very hard | and don’t use machines.,그들은 매우 열심히 | 일하고 기계를 사용하지 않습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-067,Extra/Extracted,They believe they are the keepers of nature.,그들은 자신들이 자연의 수호자라고 믿습니다.,,일반 문장,-,중,33,They believe they are | the keepers of nature.,그들은 자신들이 | 자연의 수호자라고 믿습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-068,Extra/Extracted,"34 Lesson 2 [Page 34] Tonight, it suddenly hit me – what a good thing we did!","34 Lesson 2 [Page 34] 오늘 밤, 갑자기 생각났습니다. 우리가 한 일이 참으로 잘한 일이었습니다!",,의문사 구문 / 현재분사/동명사,Wh-word / V-ing,중,,"34 Lesson 2 [Page 34] Tonight, it suddenly | hit me – what a good thing we did!","34 Lesson 2 [Page 34] 오늘 밤, | 갑자기 생각났습니다. 우리가 한 일이 참으로 잘한 일이었습니다!",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-069,Extra/Extracted,I’m proud I have been a part of it.,내가 그 일부가 된 것이 자랑스럽습니다.,,완료시제 / 사역동사,have + p.p. / make/have/let + O + V,중,,I’m proud I have | been a part of it.,내가 그 일부가 | 된 것이 자랑스럽습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-070,Extra/Extracted,I’m in c harge of picking flowers for the nursing home on F ourth Stree t.,저는 4번가에 있는 요양원에 보낼 꽃을 따는 일을 담당하고 있습니다.,,현재분사/동명사,V-ing,중,,I’m in c harge of picking flowers for | the nursing home on F ourth Stree t.,저는 4번가에 있는 요양원에 보낼 | 꽃을 따는 일을 담당하고 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
