id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L08-011,Extra/Extracted,T F • Expressing ideas in her drawings is easy for Sora.,T F • 소라에게는 그림으로 아이디어를 표현하는 것이 쉽습니다.,,현재분사/동명사 / 비교급,V-ing / Comparative,중,,T F • Expressing ideas in | her drawings is easy for Sora.,T F • 소라에게는 | 그림으로 아이디어를 표현하는 것이 쉽습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-012,Extra/Extracted,T F ׮Dialog 2 Script 8.2 +Question What did Sora say to the man?,T F ׮Dialog 2 Script 8.2 +질문 소라가 그 남자에게 뭐라고 말했나요?,,to부정사 / 의문사 구문,to + V / Wh-word,중,153,T F ׮Dialog 2 Script 8.2 +Question | What did Sora say to the man?,T F ׮Dialog 2 Script 8.2 | +질문 소라가 그 남자에게 뭐라고 말했나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-013,Extra/Extracted,I think (experience / imagination) is the most important thing to be a good (game designer / cartoon artist).,좋은 (게임 디자이너/만화가)가 되려면 (경험/상상력)이 가장 중요한 것 같아요.,,to부정사 / 현재분사/동명사,to + V / V-ing,중,153,I think (experience / imagination) is the most important | thing to be a good (game designer / cartoon artist).,좋은 (게임 디자이너/만화가)가 되려면 | (경험/상상력)이 가장 중요한 것 같아요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-014,Extra/Extracted,I have an exam tomorrow.,내일 시험이 있어요.,,사역동사,make/have/let + O + V,중,154,I have | an exam tomorrow.,내일 | 시험이 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-015,Extra/Extracted,They all look delighted.,그들은 모두 기뻐 보인다.,,일반 문장,-,중,154,They all | look delighted.,그들은 모두 | 기뻐 보인다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-016,Extra/Extracted,They must have had a good time at the party.,그들은 파티에서 즐거운 시간을 보냈음에 틀림없어요.,,조동사 / 사역동사,Modal + V / make/have/let + O + V,중,154,They must have had a | good time at the party.,그들은 파티에서 즐거운 | 시간을 보냈음에 틀림없어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-017,Extra/Extracted,Script 8.4 All Ears Listen More I Hate to Be Late I should have ....,스크립트 8.4 모든 귀는 더 많이 듣습니다. 늦는 건 싫습니다. 그랬어야 했는데....,,to부정사 / 조동사,to + V / Modal + V,중,157,Script 8.4 All Ears Listen More I | Hate to Be Late I should have ....,스크립트 8.4 모든 귀는 더 많이 | 듣습니다. 늦는 건 싫습니다. 그랬어야 했는데....,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-018,Extra/Extracted,Listen and complete.׮2 Script 8.3 I got up lat e.,듣고 완성하세요. ׮2 스크립트 8.3 나는 늦게 일어났습니다.,,일반 문장,-,중,154,Listen and complete.׮2 Script 8.3 | I got up lat e.,듣고 완성하세요. ׮2 스크립트 | 8.3 나는 늦게 일어났습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-019,Extra/Extracted,B I think texting might have been better.,B 문자로 보내는 게 더 나았을 것 같아요.,,완료시제 / 조동사,have + p.p. / Modal + V,중,155,B I think texting | might have been better.,B 문자로 보내는 게 | 더 나았을 것 같아요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-020,Extra/Extracted,A You’re late again.,A 또 늦었구나.,,일반 문장,-,중,155,A You’re | late again.,A | 또 늦었구나.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-021,Extra/Extracted,You’re always late.,당신은 항상 늦었어요.,,일반 문장,-,중,155,You’re | always late.,당신은 | 항상 늦었어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-022,Extra/Extracted,I shouldn’t have made you wait.,당신을 기다리게 만들지 말았어야 했어요.,,사역동사,make/have/let + O + V,중,155,I shouldn’t have | made you wait.,당신을 기다리게 | 만들지 말았어야 했어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-023,Extra/Extracted,Rap Time I Should Have Saved Food for the Winter Get ready.׮1 Rap Time Talk in pairs.׮2 What's the mat ter?,랩타임 겨울을 대비해 음식을 아껴둬야지 준비하세요. ׮1 랩타임 둘이서 이야기하세요. ׮2 무슨 일이에요?,,완료시제 / 의문사 구문,have + p.p. / Wh-word,중,157,Rap Time I Should Have Saved Food for the Winter | Get ready.׮1 Rap Time Talk in pairs.׮2 What's the mat ter?,랩타임 겨울을 대비해 음식을 아껴둬야지 준비하세요. | ׮1 랩타임 둘이서 이야기하세요. ׮2 무슨 일이에요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-024,Extra/Extracted,I'll share my food with you.,내 음식을 여러분과 공유하겠습니다.,,일반 문장,-,중,155,I'll share my | food with you.,내 음식을 | 여러분과 공유하겠습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-025,Extra/Extracted,I’m from Gettysburg.,저는 게티즈버그 출신이에요.,,일반 문장,-,중,156,I’m | from Gettysburg.,저는 | 게티즈버그 출신이에요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-026,Extra/Extracted,A Haiti is in South Africa.,아이티는 남아프리카공화국에 있습니다.,,일반 문장,-,중,156,A Haiti is | in South Africa.,아이티는 | 남아프리카공화국에 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-027,Extra/Extracted,"B Sorry, you’re mistaken.","B 미안해요, 착각했어요.",,일반 문장,-,중,156,"B Sorry, | you’re mistaken.","B | 미안해요, 착각했어요.",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-028,Extra/Extracted,It’s in North America.,북미에 있어요.,,일반 문장,-,중,156,It’s in | North America.,북미에 | 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-029,Extra/Extracted,I’m Afraid You’re Mistaken Get ready.,혹시 착각하실까 봐 준비하세요.,,일반 문장,-,중,156,I’m Afraid You’re | Mistaken Get ready.,혹시 착각하실까 | 봐 준비하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-030,Extra/Extracted,׮1 Jindo is the third largest island in Korea.,׮1 진도는 한국에서 세 번째로 큰 섬이다.,,최상급,Superlative,중,156,׮1 Jindo is the | third largest island in Korea.,׮1 진도는 한국에서 | 세 번째로 큰 섬이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-031,Extra/Extracted,People in Brazil speak Spanish.,브라질 사람들은 스페인어를 사용합니다.,,일반 문장,-,중,156,People in | Brazil speak Spanish.,브라질 사람들은 | 스페인어를 사용합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-032,Extra/Extracted,Vincent van Gogh was French.,빈센트 반 고흐는 프랑스인이었습니다.,,일반 문장,-,중,,Vincent van | Gogh was French.,빈센트 반 | 고흐는 프랑스인이었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-033,Extra/Extracted,Charlie and the Chocolate Factory was written by Roald Dahl.,찰리와 초콜릿 공장은 로알드 달이 쓴 작품입니다.,,수동태,be + p.p.,중,156,Charlie and the Chocolate Factory | was written by Roald Dahl.,찰리와 초콜릿 공장은 | 로알드 달이 쓴 작품입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-034,Extra/Extracted,Tomatoes were first grown in Europe.,토마토는 유럽에서 처음 재배되었습니다.,,일반 문장,-,중,156,Tomatoes were first | grown in Europe.,토마토는 유럽에서 | 처음 재배되었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-035,Extra/Extracted,The capital of Australia is Sydney.,호주의 수도는 시드니입니다.,,일반 문장,-,중,156,The capital of | Australia is Sydney.,호주의 | 수도는 시드니입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-036,Extra/Extracted,They speak Portuguese.,그들은 포르투갈어를 사용합니다.,,일반 문장,-,중,156,They | speak Portuguese.,그들은 | 포르투갈어를 사용합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-037,Extra/Extracted,"First of all, I should have read more books because I want to be a writer.","우선, 나는 작가가 되고 싶어서 책을 더 많이 읽었어야 했다.",,이유의 접속사 / to부정사,Because/Since + S + V / to + V,중,157,"First of all, I should have read more | books because I want to be a writer.","우선, 나는 작가가 되고 싶어서 | 책을 더 많이 읽었어야 했다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-038,Extra/Extracted,"Second, I shouldn‛t have ....","둘째, 그러지 말았어야 했는데....",,일반 문장,-,중,157,"Second, I | shouldn‛t have ....","둘째, 그러지 | 말았어야 했는데....",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-039,Extra/Extracted,"In high school, I‛ll try my best so that there won‛t be anything that I‛ll regret.",고등학교 때는 후회할 일이 없도록 최선을 다하겠습니다.,,접속사/관계대명사 that / 현재분사/동명사,that + S + V / N + that / V-ing,중,157,"In high school, I‛ll try my best so | that there won‛t be anything that I‛ll regret.",고등학교 때는 후회할 | 일이 없도록 최선을 다하겠습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-040,Extra/Extracted,Present and share.׮ Step Listen and match.׮Step Script 8.5 Would you ...?,발표하고 공유하세요. ׮ 단계 듣고 연결하세요. ׮단계 스크립트 8.5 ...하시겠습니까?,,조동사,Modal + V,중,157,Present and share.׮ Step Listen and | match.׮Step Script 8.5 Would you ...?,발표하고 공유하세요. ׮ 단계 듣고 | 연결하세요. ׮단계 스크립트 8.5 ...하시겠습니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-041,Extra/Extracted,"Looking Back, Looking Forward Think and take notes.׮Step ਃI should have ....","되돌아보기, 앞보기 생각하고 메모해 보세요. ׮Step ਃ 나는 ....",,조동사 / 현재분사/동명사,Modal + V / V-ing,중,157,"Looking Back, Looking Forward Think and | take notes.׮Step ਃI should have ....","되돌아보기, 앞보기 생각하고 메모해 | 보세요. ׮Step ਃ 나는 ....",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-042,Extra/Extracted,Expressions׮ It was an opportunity to go after his dream of becoming a singer.,표현 ׮ 가수의 꿈을 이룰 수 있는 기회였다.,,시간의 접속사 / to부정사,When/While + S + V / to + V,중,190,Expressions׮ It was an opportunity to go | after his dream of becoming a singer.,표현 ׮ 가수의 꿈을 | 이룰 수 있는 기회였다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-043,Extra/Extracted,He regretted that he had chosen t he hip-hop music.,그는 자신이 힙합 음악을 선택한 것을 후회했다.,,완료시제 / 접속사/관계대명사 that,have + p.p. / that + S + V / N + that,중,158,He regretted that he had | chosen t he hip-hop music.,그는 자신이 힙합 | 음악을 선택한 것을 후회했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-044,Extra/Extracted,Minsu saw a banner which was advertising an audition for a singing contest.,민수는 노래 경연 대회 오디션을 광고하는 현수막을 보았습니다.,,관계대명사 / 현재분사/동명사,Relative Pronoun / V-ing,중,158,Minsu saw a banner which was | advertising an audition for a singing contest.,민수는 노래 경연 대회 | 오디션을 광고하는 현수막을 보았습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-045,Extra/Extracted,His name was not included on the list of finalists.,그의 이름은 최종 후보 명단에 ​​포함되지 않았습니다.,,일반 문장,-,중,158,His name was not included | on the list of finalists.,그의 이름은 최종 | 후보 명단에 ​​포함되지 않았습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-046,Extra/Extracted,"She does not work anymore, but she still enjoys making delicious food, which I love so much.",그녀는 더 이상 일을 하지 않지만 여전히 맛있는 음식을 만드는 것을 좋아합니다. 저는 그것을 너무나 좋아합니다.,,관계대명사 / 현재분사/동명사,Relative Pronoun / V-ing,중,,"She does not work anymore, but she still | enjoys making delicious food, which I love so much.",그녀는 더 이상 일을 하지 않지만 여전히 맛있는 | 음식을 만드는 것을 좋아합니다. 저는 그것을 너무나 좋아합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-047,Extra/Extracted,Food is one of the many things that connect us.,음식은 우리를 연결하는 많은 것 중 하나입니다.,,접속사/관계대명사 that,that + S + V / N + that,중,,Food is one of the | many things that connect us.,음식은 우리를 연결하는 | 많은 것 중 하나입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-048,Extra/Extracted,"What connects us most strongly, however, is baseball.",하지만 우리를 가장 강하게 연결해주는 것은 야구입니다.,,의문사 구문 / 비교급,Wh-word / Comparative,중,,"What connects us most | strongly, however, is baseball.",하지만 우리를 가장 | 강하게 연결해주는 것은 야구입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-049,Extra/Extracted,"When I visit her on weekends, my grandmother often tells me exciting stories about playing baseball back in the 1940s.",주말에 할머니를 방문하면 할머니는 종종 1940년대 야구에 관한 흥미로운 이야기를 들려주곤 했습니다.,,시간의 접속사 / 현재분사/동명사,When/While + S + V / V-ing,중,159,"When I visit her on weekends, my grandmother often tells | me exciting stories about playing baseball back in the 1940s.",주말에 할머니를 방문하면 할머니는 종종 1940년대 | 야구에 관한 흥미로운 이야기를 들려주곤 했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-050,Extra/Extracted,She must have loved the sport very much.,그녀는 스포츠를 매우 좋아했을 것입니다.,,완료시제 / 조동사,have + p.p. / Modal + V,중,,She must have loved | the sport very much.,그녀는 스포츠를 | 매우 좋아했을 것입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-051,Extra/Extracted,I listen to these stories over and over.,나는 이런 이야기를 계속해서 듣습니다.,,to부정사 / 비교급,to + V / Comparative,중,159,I listen to these | stories over and over.,나는 이런 | 이야기를 계속해서 듣습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-052,Extra/Extracted,"She always says, “Go after what you want, Sarah.","그녀는 항상 이렇게 말합니다. “사라야, 네가 원하는 대로 해라.",,시간의 접속사 / 의문사 구문,When/While + S + V / Wh-word,중,,"She always says, “Go | after what you want, Sarah.","그녀는 항상 이렇게 말합니다. | “사라야, 네가 원하는 대로 해라.",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-053,Extra/Extracted,Don’t be afraid of trying something new or challenging.,새로운 일이나 도전적인 일을 시도하는 것을 두려워하지 마세요.,,현재분사/동명사,V-ing,중,,Don’t be afraid of | trying something new or challenging.,새로운 일이나 도전적인 일을 | 시도하는 것을 두려워하지 마세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-054,Extra/Extracted,Don’t be ashamed of failing.,실패를 부끄러워하지 마세요.,,현재분사/동명사,V-ing,중,159,Don’t be | ashamed of failing.,실패를 | 부끄러워하지 마세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-055,Extra/Extracted,” Q1 Sarah’s grandmother is now a cook in a restaurant.,” Q1 Sarah의 할머니는 현재 식당에서 요리사로 일하고 있습니다.,,비교급,Comparative,중,159,” Q1 Sarah’s grandmother is | now a cook in a restaurant.,” Q1 Sarah의 할머니는 | 현재 식당에서 요리사로 일하고 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-056,Extra/Extracted,This league was created for baseball fans because many of America’s young men were fighting in World War II.,이 리그는 미국의 많은 젊은이들이 제2차 세계대전에 참전했기 때문에 야구팬들을 위해 만들어졌습니다.,,이유의 접속사 / 수동태,Because/Since + S + V / be + p.p.,중,160,This league was created for baseball fans because many | of America’s young men were fighting in World War II.,이 리그는 미국의 많은 젊은이들이 제2차 | 세계대전에 참전했기 때문에 야구팬들을 위해 만들어졌습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-057,Extra/Extracted,Helen was told that there would be local tryouts right in South Bend.,Helen은 바로 South Bend에서 현지 시험이 있을 것이라는 말을 들었습니다.,,접속사/관계대명사 that / 조동사,that + S + V / N + that / Modal + V,중,160,Helen was told that there would | be local tryouts right in South Bend.,Helen은 바로 South Bend에서 현지 | 시험이 있을 것이라는 말을 들었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-058,Extra/Extracted,"She wondered, “What would it be like to be on a baseball team and to make it to the finals for my hometown?” She imagined a large banner hanging at the baseball field which included the name Helen Baker.",그녀는 “야구팀에 들어가 고향에서 결승에 진출하면 어떨까?”라고 궁금해했습니다. 그녀는 야구장에 Helen Baker라는 이름이 적힌 커다란 배너가 걸려 있는 것을 상상했습니다.,,to부정사 / 관계대명사,to + V / Relative Pronoun,중,160,"She wondered, “What would it be like to be on a baseball team and to make it to the | finals for my hometown?” She imagined a large banner hanging at the baseball field which included the name Helen Baker.",그녀는 “야구팀에 들어가 고향에서 결승에 진출하면 어떨까?”라고 궁금해했습니다. 그녀는 야구장에 | Helen Baker라는 이름이 적힌 커다란 배너가 걸려 있는 것을 상상했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-059,Extra/Extracted,She thought that wearing a suit in the hot sun might have made him impatient.,그녀는 뜨거운 태양 아래에서 양복을 입는 것이 그를 참을성 없게 만들지도 모른다고 생각했습니다.,,접속사/관계대명사 that / 조동사,that + S + V / N + that / Modal + V,중,,She thought that wearing a suit in | the hot sun might have made him impatient.,그녀는 뜨거운 태양 아래에서 양복을 입는 | 것이 그를 참을성 없게 만들지도 모른다고 생각했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-060,Extra/Extracted,"On that day, Helen played baseball for hours with many other young women.",그날 헬렌은 다른 많은 젊은 여성들과 몇 시간 동안 야구를 했습니다.,,접속사/관계대명사 that / 비교급,that + S + V / N + that / Comparative,중,,"On that day, Helen played baseball | for hours with many other young women.",그날 헬렌은 다른 많은 젊은 | 여성들과 몇 시간 동안 야구를 했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-061,Extra/Extracted,She was excited to go after her baseball dreams!,그녀는 야구의 꿈을 이루게 되어 신났습니다!,,시간의 접속사 / 수동태,When/While + S + V / be + p.p.,중,162,She was excited to | go after her baseball dreams!,그녀는 야구의 꿈을 | 이루게 되어 신났습니다!,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-062,Extra/Extracted,"About a week later, Helen found a letter in the mailbox.","약 일주일 후, 헬렌은 우편함에서 편지 한 통을 발견했습니다.",,비교급,Comparative,중,162,"About a week later, Helen | found a letter in the mailbox.","약 일주일 후, 헬렌은 | 우편함에서 편지 한 통을 발견했습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-063,Extra/Extracted,It was from people who worked for the girls’ baseball league in Chicago.,시카고 여자야구리그에서 일했던 사람들이 보낸 편지였다.,,관계대명사,Relative Pronoun,중,,It was from people who worked | for the girls’ baseball league in Chicago.,시카고 여자야구리그에서 일했던 | 사람들이 보낸 편지였다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-064,Extra/Extracted,It read that she had been invited to the league’s main tryouts in Chicago!,그녀는 시카고에서 열리는 리그의 주요 선발전에 초대받았다는 내용이 있었습니다!,,완료시제 / to부정사,have + p.p. / to + V,중,162,It read that she had been invited | to the league’s main tryouts in Chicago!,그녀는 시카고에서 열리는 리그의 | 주요 선발전에 초대받았다는 내용이 있었습니다!,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-065,Extra/Extracted,Q3 The main tryouts would be held in (South Bend / Chicago).,Q3 본선 선발전은 (사우스벤드/시카고)에서 개최됩니다.,,조동사,Modal + V,중,162,Q3 The main tryouts would be | held in (South Bend / Chicago).,Q3 본선 | 선발전은 (사우스벤드/시카고)에서 개최됩니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-066,Extra/Extracted,"She also became worried about traveling alone to Chicago, which was far away from home.",집에서 멀리 떨어진 시카고로 혼자 여행을 떠나는 것도 걱정이 됐다.,,to부정사 / 관계대명사,to + V / Relative Pronoun,중,,"She also became worried about traveling alone | to Chicago, which was far away from home.",집에서 멀리 떨어진 시카고로 혼자 | 여행을 떠나는 것도 걱정이 됐다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-067,Extra/Extracted,"When the day of the main tryouts came, she was too afraid to go.","본선 시험 날이 왔을 때, 그녀는 가기가 너무 두려웠습니다.",,시간의 접속사 / to부정사,When/While + S + V / to + V,중,163,"When the day of the main tryouts | came, she was too afraid to go.","본선 시험 날이 왔을 | 때, 그녀는 가기가 너무 두려웠습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-068,Extra/Extracted,"When she watches a baseball game on TV, she often says, “I should have gone to Chicago.",그녀는 TV에서 야구 경기를 볼 때면 “시카고로 갔어야 했는데.,,시간의 접속사 / to부정사,When/While + S + V / to + V,중,157,"When she watches a baseball game on TV, | she often says, “I should have gone to Chicago.",그녀는 TV에서 야구 경기를 | 볼 때면 “시카고로 갔어야 했는데.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-069,Extra/Extracted,"You know, all your dreams are worth chasing, even if you catch only a few of them.","아시다시피, 여러분의 모든 꿈은 비록 그 중 몇 가지만 잡더라도 쫓아갈 가치가 있습니다.",,조건의 접속사 / 현재분사/동명사,If/Unless + S + V / V-ing,중,152,"You know, all your dreams are worth chasing, | even if you catch only a few of them.","아시다시피, 여러분의 모든 꿈은 비록 그 | 중 몇 가지만 잡더라도 쫓아갈 가치가 있습니다.",Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L08-070,Extra/Extracted,Never miss an opportunity.,기회를 놓치지 마십시오.,,비교급,Comparative,중,164,Never miss | an opportunity.,기회를 | 놓치지 마십시오.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-071,Extra/Extracted,"” Q4   Helen was (worried / excited) about the long trip to the main tryouts, so she decided (to go / not to go).",” Q4 Helen은 주요 선발 대회로의 긴 여행에 대해 (걱정 / 흥분해서) 가기로 결정했습니다.,,to부정사,to + V,중,164,"” Q4   Helen was (worried / excited) about the long trip | to the main tryouts, so she decided (to go / not to go).",” Q4 Helen은 주요 선발 대회로의 긴 | 여행에 대해 (걱정 / 흥분해서) 가기로 결정했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-072,Extra/Extracted,Cause E ﬀ e c t The Second broke out.,원인 효과 두 번째가 발생했습니다.,,일반 문장,-,중,,Cause E ﬀ e c | t The Second broke out.,원인 효과 | 두 번째가 발생했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-073,Extra/Extracted,She loved baseball so much.,그녀는 야구를 너무나 좋아했습니다.,,일반 문장,-,중,165,She loved | baseball so much.,그녀는 야구를 | 너무나 좋아했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-074,Extra/Extracted,She was not sure of her success.,그녀는 자신의 성공을 확신하지 못했습니다.,,비교급,Comparative,중,165,She was not | sure of her success.,그녀는 자신의 | 성공을 확신하지 못했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-075,Extra/Extracted,"Also, she was afraid of She joined the local South Bend.",또한 그녀는 지역 South Bend에 합류하는 것을 두려워했습니다.,,일반 문장,-,중,165,"Also, she was afraid of | She joined the local South Bend.",또한 그녀는 지역 South | Bend에 합류하는 것을 두려워했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-076,Extra/Extracted,She didn’t go to the main tryouts.,그녀는 주요 시험에 가지 않았습니다.,,to부정사,to + V,중,165,She didn’t go | to the main tryouts.,그녀는 주요 | 시험에 가지 않았습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-077,Extra/Extracted,"׮ Jane Goodall, Mother of Chimpanzees Jane Goodall was born in London, England, in 1934.","׮ 제인 구달, 침팬지의 어머니 제인 구달은 1934년 영국 런던에서 태어났습니다.",,비교급,Comparative,중,166,"׮ Jane Goodall, Mother of Chimpanzees Jane | Goodall was born in London, England, in 1934.","׮ 제인 구달, 침팬지의 어머니 | 제인 구달은 1934년 영국 런던에서 태어났습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L08-078,Extra/Extracted,Her interest in chimpanzees began when she first read about Tarzan.,침팬지에 대한 그녀의 관심은 처음 타잔에 관한 책을 읽었을 때부터 시작되었습니다.,,시간의 접속사 / 비교급,When/While + S + V / Comparative,중,,Her interest in chimpanzees began | when she first read about Tarzan.,침팬지에 대한 그녀의 관심은 처음 | 타잔에 관한 책을 읽었을 때부터 시작되었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-079,Extra/Extracted,She has been studying wild chimpanzees in Africa since her twenties.,그녀는 20대부터 아프리카에서 야생 침팬지를 연구해왔습니다.,,이유의 접속사 / 완료시제,Because/Since + S + V / have + p.p.,중,,She has been studying wild | chimpanzees in Africa since her twenties.,그녀는 20대부터 아프리카에서 | 야생 침팬지를 연구해왔습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L08-080,Extra/Extracted,She has also been working for the protection of chimpanzees.,그녀는 또한 침팬지 보호를 위해 노력해 왔습니다.,,현재분사/동명사,V-ing,중,190,She has also been working | for the protection of chimpanzees.,그녀는 또한 침팬지 | 보호를 위해 노력해 왔습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
