id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L05-037,Extra/Extracted,Can you recommend a good book for us?,우리에게 좋은 책을 추천해주실 수 있나요?,,조동사,Modal + V,중,110,Can you recommend a | good book for us?,우리에게 좋은 책을 | 추천해주실 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-038,Extra/Extracted,Present and share.,발표하고 공유하세요.,,일반 문장,-,중,99,Present | and share.,발표하고 | 공유하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-039,Extra/Extracted,with the Writer An Interview 100   Lesson 5 Are You into Books?,작가와의 인터뷰 100 5과 당신은 책을 좋아합니까?,,비교급,Comparative,중,99,with the Writer An Interview 100  |  Lesson 5 Are You into Books?,작가와의 인터뷰 100 | 5과 당신은 책을 좋아합니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-040,Extra/Extracted,harsh literary longing independence Let’s Celebrate August 15 Last w eek w e celebrated A ugust 15 in our class .,가혹한 문학적 갈망 독립 8월 15일을 축하하자 지난 주 우리 반에서는 8월 15일을 축하했습니다.,,현재분사/동명사,V-ing,중,100,harsh literary longing independence Let’s Celebrate August 15 Last w | eek w e celebrated A ugust 15 in our class .,가혹한 문학적 갈망 독립 8월 15일을 축하하자 | 지난 주 우리 반에서는 8월 15일을 축하했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-041,Extra/Extracted,We put up pictures of people who had lived through times and tried to achieve .,우리는 시대를 살아가며 이를 달성하기 위해 노력한 사람들의 사진을 게시했습니다.,,완료시제 / to부정사,have + p.p. / to + V,중,100,We put up pictures of people who had | lived through times and tried to achieve .,우리는 시대를 살아가며 이를 달성하기 | 위해 노력한 사람들의 사진을 게시했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-042,Extra/Extracted,"Also, there was a talk on writers who had expressed their for freedom in works.","또한, 작품 속에서 자유로움을 표현한 작가들에 대한 이야기도 있었다.",,완료시제 / 관계대명사,have + p.p. / Relative Pronoun,중,100,"Also, there was a talk on writers | who had expressed their for freedom in works.","또한, 작품 속에서 자유로움을 | 표현한 작가들에 대한 이야기도 있었다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-043,Extra/Extracted,"And r eady I s tand, w ithout a w orry, To count a ll t he s tars t here.",그리고 나는 걱정 없이 여기 있는 모든 별들을 셀 준비가 되어 있습니다.,,to부정사,to + V,중,101,"And r eady I s tand, w ithout a w | orry, To count a ll t he s tars t here.",그리고 나는 걱정 없이 여기 있는 | 모든 별들을 셀 준비가 되어 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-044,Extra/Extracted,"Memory f or one s tar , Love f or a nother s tar , Loneliness f or another s tar , Longing f or another s tar , Poetry f or a nother s tar , And, o h, m other , mother f or a nother star .","한 별에 대한 추억, 다른 별에 대한 사랑, 다른 별에 대한 외로움, 다른 별에 대한 그리움, 다른 별에 대한 시, 그리고, 오, 다른 별에 대한 어머니.",,현재분사/동명사 / 비교급,V-ing / Comparative,중,101,"Memory f or one s tar , Love f or a nother s tar , Loneliness f or another s tar , Longing f or | another s tar , Poetry f or a nother s tar , And, o h, m other , mother f or a nother star .","한 별에 대한 추억, 다른 별에 대한 사랑, 다른 별에 대한 외로움, 다른 | 별에 대한 그리움, 다른 별에 대한 시, 그리고, 오, 다른 별에 대한 어머니.",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-045,Extra/Extracted,Have you read these lines before?,전에 이 줄을 읽어본 적이 있나요?,,시간의 접속사 / 사역동사,When/While + S + V / make/have/let + O + V,중,101,Have you read | these lines before?,전에 이 줄을 | 읽어본 적이 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-046,Extra/Extracted,/T_h  ey are part of the poem “Counting Stars at Night” by Y oon Dong-ju.,/윤동주 시인의 시 '밤의 별 헤아림'의 일부입니다.,,현재분사/동명사,V-ing,중,,/T_h  ey are part of the poem | “Counting Stars at Night” by Y oon Dong-ju.,/윤동주 시인의 시 | '밤의 별 헤아림'의 일부입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-047,Extra/Extracted,/T_h  e poem was written a long time ago but still r emains one of Korea’s favorite poems.,/이 시는 오래전에 쓰여졌지만 여전히 한국이 가장 좋아하는 시 중 하나로 남아있습니다.,,수동태,be + p.p.,중,101,/T_h  e poem was written a long time | ago but still r emains one of Korea’s favorite poems.,/이 시는 오래전에 쓰여졌지만 여전히 한국이 | 가장 좋아하는 시 중 하나로 남아있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-048,Extra/Extracted,102Lesson 5 Are You into Books?,102 제 5과 당신은 책을 좋아합니까?,,일반 문장,-,중,102,102Lesson 5 Are | You into Books?,102 제 5과 | 당신은 책을 좋아합니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-049,Extra/Extracted,"As a young boy, he loved sports, and he was a soccer player for his school.",어렸을 때 그는 스포츠를 좋아했고 학교에서 축구 선수였습니다.,,이유의 접속사 / 비교급,Because/Since + S + V / Comparative,중,,"As a young boy, he loved sports, and | he was a soccer player for his school.",어렸을 때 그는 스포츠를 | 좋아했고 학교에서 축구 선수였습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-050,Extra/Extracted,He also loved sewing so much that he sewed the numbers on all his friends’ soccer uniforms.,그는 또한 바느질을 너무 좋아해서 친구들의 축구 유니폼에 숫자를 모두 꿰맬 정도였습니다.,,접속사/관계대명사 that / 현재분사/동명사,that + S + V / N + that / V-ing,중,102,He also loved sewing so much that he | sewed the numbers on all his friends’ soccer uniforms.,그는 또한 바느질을 너무 좋아해서 친구들의 | 축구 유니폼에 숫자를 모두 꿰맬 정도였습니다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L05-051,Extra/Extracted,"However, it was literature that he loved most.",그러나 그가 가장 좋아한 것은 문학이었다.,,접속사/관계대명사 that / 비교급,that + S + V / N + that / Comparative,중,102,"However, it was literature | that he loved most.",그러나 그가 가장 | 좋아한 것은 문학이었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-052,Extra/Extracted,In elementary school he wrote a lot of poems.,초등학교 시절 그는 시를 많이 썼다.,,일반 문장,-,중,105,In elementary school he | wrote a lot of poems.,초등학교 시절 그는 | 시를 많이 썼다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-053,Extra/Extracted,"He even made a literary magazine with his cousin, Song Mong-gyu.",사촌 송몽규와 함께 문학잡지를 만들기도 했다.,,일반 문장,-,중,,"He even made a literary | magazine with his cousin, Song Mong-gyu.",사촌 송몽규와 함께 | 문학잡지를 만들기도 했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-054,Extra/Extracted,"In middle school he once borrowed a poetry book by a famous poet of the time, Baek Seok, and copied the whole book by hand.",그는 중학교 시절 당대 유명 시인 백석의 시집을 빌려 시집 전체를 손으로 필사한 적이 있다.,,일반 문장,-,중,102,"In middle school he once borrowed a poetry book by a famous | poet of the time, Baek Seok, and copied the whole book by hand.",그는 중학교 시절 당대 유명 시인 백석의 | 시집을 빌려 시집 전체를 손으로 필사한 적이 있다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-055,Extra/Extracted,He really wanted to have his own copy of the rare book.,그는 정말로 그 희귀한 책의 사본을 갖고 싶어했습니다.,,to부정사 / 사역동사,to + V / make/have/let + O + V,중,102,He really wanted to have his | own copy of the rare book.,그는 정말로 그 희귀한 | 책의 사본을 갖고 싶어했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-056,Extra/Extracted,"During his college years, he often hung out with other young poets and wrote poetry where he expressed feelings about his hometown and lost country.",그는 대학 시절 젊은 시인들과 자주 어울리며 시를 쓰며 고향과 잃어버린 조국에 대한 심정을 표현했다.,,의문사 구문 / 현재분사/동명사,Wh-word / V-ing,중,103,"During his college years, he often hung out with other young poets | and wrote poetry where he expressed feelings about his hometown and lost country.",그는 대학 시절 젊은 시인들과 자주 어울리며 | 시를 쓰며 고향과 잃어버린 조국에 대한 심정을 표현했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-057,Extra/Extracted,"To celebrate his graduation, he wished to publish 19 of his poems under the title, Heaven, Wind, Stars, and Poetry.",그는 졸업을 기념하여 하늘과 바람과 별과 시라는 제목으로 시 19편을 출판하고자 했다.,,to부정사 / 비교급,to + V / Comparative,중,103,"To celebrate his graduation, he wished to publish 19 of | his poems under the title, Heaven, Wind, Stars, and Poetry.",그는 졸업을 기념하여 하늘과 바람과 별과 | 시라는 제목으로 시 19편을 출판하고자 했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-058,Extra/Extracted,He made three copies of the book by hand.,그는 손으로 책 세 권을 만들었습니다.,,일반 문장,-,중,103,He made three copies | of the book by hand.,그는 손으로 책 | 세 권을 만들었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-059,Extra/Extracted,"One was given to his close friend, Jeong Byeong-uk, another was presented to his favorite professor, and the last one was kept for himself.","하나는 친한 친구인 정병욱 씨에게, 하나는 자신이 가장 좋아하는 교수님에게, 마지막 하나는 본인이 간직했습니다.",,수동태 / to부정사,be + p.p. / to + V,중,103,"One was given to his close friend, Jeong Byeong-uk, another was presented | to his favorite professor, and the last one was kept for himself.","하나는 친한 친구인 정병욱 씨에게, 하나는 자신이 | 가장 좋아하는 교수님에게, 마지막 하나는 본인이 간직했습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-060,Extra/Extracted,"However, his professor advised against his plan because he thought the Japanese government would not allow the publication.",그러나 그의 교수는 일본 정부가 출판을 허용하지 않을 것이라고 생각했기 때문에 그의 계획에 반대하라고 조언했습니다.,,이유의 접속사 / 조동사,Because/Since + S + V / Modal + V,중,103,"However, his professor advised against his plan because he | thought the Japanese government would not allow the publication.",그러나 그의 교수는 일본 정부가 출판을 허용하지 | 않을 것이라고 생각했기 때문에 그의 계획에 반대하라고 조언했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-061,Extra/Extracted,Dong-ju followed his advice and gave up the idea.,동주는 그의 조언을 따랐고 그 생각을 포기했다.,,일반 문장,-,중,103,Dong-ju followed his advice | and gave up the idea.,동주는 그의 조언을 | 따랐고 그 생각을 포기했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-062,Extra/Extracted,Q3 Dong-ju’s parents wanted him to study (medicine / literature) in college.,Q3 동주의 부모님은 그가 대학에서 (의학 / 문학) 공부를 하길 원했다.,,to부정사,to + V,중,103,Q3 Dong-ju’s parents wanted him to | study (medicine / literature) in college.,Q3 동주의 부모님은 그가 대학에서 | (의학 / 문학) 공부를 하길 원했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-063,Extra/Extracted,104   Lesson 5 Are You into Books?,104 제 5과 당신은 책을 좋아합니까?,,일반 문장,-,중,104,104   Lesson | 5 Are You into Books?,104 제 5과 | 당신은 책을 좋아합니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-064,Extra/Extracted,"So, in 1942, Dong-ju and his cousin began to study in Japan.",그래서 1942년 동주와 그의 사촌은 일본 유학을 시작했다.,,to부정사,to + V,중,,"So, in 1942, Dong-ju and his | cousin began to study in Japan.",그래서 1942년 동주와 그의 | 사촌은 일본 유학을 시작했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-065,Extra/Extracted,"On July 10 the following year, his cousin was arrested by the Japanese police for taking part in an independence movement.","이듬해 7월 10일, 사촌동생이 독립운동을 했다는 죄목으로 일본경찰에 체포됐다.",,수동태 / 현재분사/동명사,be + p.p. / V-ing,중,100,"On July 10 the following year, his cousin was arrested | by the Japanese police for taking part in an independence movement.","이듬해 7월 10일, 사촌동생이 | 독립운동을 했다는 죄목으로 일본경찰에 체포됐다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-066,Extra/Extracted,"Four days later, Dong-ju was also arrested on the same charges.",나흘 뒤 동주씨도 같은 혐의로 체포됐다.,,비교급,Comparative,중,,"Four days later, Dong-ju was | also arrested on the same charges.",나흘 뒤 동주씨도 | 같은 혐의로 체포됐다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-067,Extra/Extracted,"In 1945, Dong-ju and his cousin died in prison a/f_t  er harsh treatment by the police.","1945년, 동주와 그의 사촌은 경찰의 가혹한 처우에도 불구하고 감옥에서 사망했다.",,일반 문장,-,중,,"In 1945, Dong-ju and his cousin died in | prison a/f_t  er harsh treatment by the police.","1945년, 동주와 그의 사촌은 경찰의 | 가혹한 처우에도 불구하고 감옥에서 사망했다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L05-068,Extra/Extracted,It was just a few months later that Korea achieved independence from Japan.,한국이 일본으로부터 독립한 것은 불과 몇 달 뒤였습니다.,,접속사/관계대명사 that / 비교급,that + S + V / N + that / Comparative,중,100,It was just a few months | later that Korea achieved independence from Japan.,한국이 일본으로부터 독립한 것은 | 불과 몇 달 뒤였습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-069,Extra/Extracted,"In 1948, Jeong Byeong-uk brought Dong-ju’s poems to the poet’s brother, and they were /f_i  nally published.",1948년 정병욱은 동주의 시를 시인의 형에게 가져왔고 마침내 간행되었다.,,to부정사 / 비교급,to + V / Comparative,중,104,"In 1948, Jeong Byeong-uk brought Dong-ju’s poems to the | poet’s brother, and they were /f_i  nally published.",1948년 정병욱은 동주의 시를 | 시인의 형에게 가져왔고 마침내 간행되었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-070,Extra/Extracted,/T_h  e book was given the title the poet had thought of many years before.,/이 책에는 시인이 수년 전에 생각했던 제목이 주어졌습니다.,,시간의 접속사 / 수동태,When/While + S + V / be + p.p.,중,,/T_h  e book was given the title | the poet had thought of many years before.,/이 책에는 시인이 수년 | 전에 생각했던 제목이 주어졌습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-071,Extra/Extracted,"His poems are loved by people of all ages, and thus they still shine brightly in our hearts like the stars in the autumn night sky.",그의 시는 남녀노소 모두에게 사랑을 받아 가을 밤하늘의 별처럼 지금도 우리 마음 속에 밝게 빛나고 있다.,,수동태,be + p.p.,중,104,"His poems are loved by people of all ages, and thus they still | shine brightly in our hearts like the stars in the autumn night sky.",그의 시는 남녀노소 모두에게 사랑을 받아 가을 밤하늘의 | 별처럼 지금도 우리 마음 속에 밝게 빛나고 있다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-072,Extra/Extracted,Can you tell me about your childhood?,당신의 어린 시절에 대해 말해줄 수 있나요?,,조동사,Modal + V,중,105,Can you tell | me about your childhood?,당신의 어린 시절에 | 대해 말해줄 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-073,Extra/Extracted,What did your parents want you to do?,부모님은 당신이 무엇을 하기를 바라셨나요?,,to부정사 / 의문사 구문,to + V / Wh-word,중,105,What did your parents | want you to do?,부모님은 당신이 | 무엇을 하기를 바라셨나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-074,Extra/Extracted,Didn’t you publish a poetry book during college?,대학 시절 시집을 내지 않았나요?,,현재분사/동명사,V-ing,중,105,Didn’t you publish a | poetry book during college?,대학 시절 | 시집을 내지 않았나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-075,Extra/Extracted,"I liked soccer and sewing, but I loved the most.",나는 축구와 바느질을 좋아했지만 그 중 가장 사랑했습니다.,,현재분사/동명사 / 비교급,V-ing / Comparative,중,105,"I liked soccer and sewing, | but I loved the most.",나는 축구와 바느질을 좋아했지만 | 그 중 가장 사랑했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-076,Extra/Extracted,"They wanted me to be a I wanted to, but my advised against my plan.",그들은 내가 원하는 사람이 되기를 원했지만 나는 내 계획에 반대했습니다.,,to부정사,to + V,중,105,"They wanted me to be a I | wanted to, but my advised against my plan.",그들은 내가 원하는 사람이 되기를 | 원했지만 나는 내 계획에 반대했습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
