id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L02-26,Extra/Reading_for_Fun,What's an elephant?,코끼리는 무엇입니까?,G0299,의문사 구문,Wh-word,중,34,What's | an elephant?,코끼리는 | 무엇입니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-27,Extra/Reading_for_Fun,There‛s lots of trash in the sea.,바다에는 쓰레기가 많아요.,G0299,일반 문장,-,중,35,There‛s lots of | trash in the sea.,바다에는 | 쓰레기가 많아요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-28,Extra/Reading_for_Fun,Many whales eat it and get sick.,많은 고래들이 그것을 먹고 병에 걸립니다.,G0299,일반 문장,-,중,,Many whales eat | it and get sick.,많은 고래들이 그것을 | 먹고 병에 걸립니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-29,Extra/Reading_for_Fun,Is there anything we can do to help them?,그들을 돕기 위해 우리가 할 수 있는 일이 있나요?,G0299,to부정사 / 조동사,to + V / Modal + V,중,35,Is there anything we | can do to help them?,그들을 돕기 위해 우리가 | 할 수 있는 일이 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-30,Extra/Reading_for_Fun,"First, we should try to clean up the sea.","첫째, 바다를 깨끗하게 만드는 노력을 해야 합니다.",G0299,to부정사 / 조동사,to + V / Modal + V,중,35,"First, we should try | to clean up the sea.","첫째, 바다를 깨끗하게 | 만드는 노력을 해야 합니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-31,Extra/Reading_for_Fun,Present and share.,발표하고 공유하세요.,G0299,일반 문장,-,중,35,Present | and share.,발표하고 | 공유하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-32,Extra/Reading_for_Fun,Many whales eat it and Sure.,많은 고래가 그것을 먹습니다. 물론이죠.,G0299,일반 문장,-,중,,Many whales eat | it and Sure.,많은 고래가 | 그것을 먹습니다. 물론이죠.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-33,Extra/Reading_for_Fun,Many whales eat it and That‛s too bad.,많은 고래들이 그것을 먹는데 안타깝습니다.,G0299,접속사/관계대명사 that,that + S + V / N + that,중,,Many whales eat it | and That‛s too bad.,많은 고래들이 | 그것을 먹는데 안타깝습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-34,Extra/Reading_for_Fun,I heard whales are having a hard time these days.,요즘 고래들이 힘들다고 들었어요.,G0299,현재분사/동명사,V-ing,중,35,I heard whales are having | a hard time these days.,요즘 고래들이 | 힘들다고 들었어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-35,Extra/Reading_for_Fun,Listen and number.,듣고 번호를 매기세요.,G0299,비교급,Comparative,중,35,Listen | and number.,듣고 | 번호를 매기세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-36,Extra/Reading_for_Fun,uestion Box Bees live together in a colony.,상자벌은 군체를 이루어 함께 생활합니다.,G0299,비교급,Comparative,중,,uestion Box Bees live | together in a colony.,상자벌은 군체를 | 이루어 함께 생활합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-37,Extra/Reading_for_Fun,It usually has a large number of residents in it.,일반적으로 그 안에는 많은 수의 거주자가 있습니다.,G0299,비교급,Comparative,중,36,It usually has a large | number of residents in it.,일반적으로 그 안에는 | 많은 수의 거주자가 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-38,Extra/Reading_for_Fun,Elephants are social animals.,코끼리는 사회적 동물입니다.,G0299,일반 문장,-,중,36,Elephants are | social animals.,코끼리는 | 사회적 동물입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-39,Extra/Reading_for_Fun,Female elephants help each other look after their babies.,암컷 코끼리는 서로 새끼를 돌보는 것을 돕습니다.,G0299,시간의 접속사 / 비교급,When/While + S + V / Comparative,중,36,Female elephants help each | other look after their babies.,암컷 코끼리는 서로 | 새끼를 돌보는 것을 돕습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-40,Extra/Reading_for_Fun,Dogs are more sensitive to smells than humans are.,개는 사람보다 냄새에 더 민감합니다.,G0299,to부정사 / 비교급,to + V / Comparative,중,36,Dogs are more sensitive | to smells than humans are.,개는 사람보다 | 냄새에 더 민감합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-41,Extra/Reading_for_Fun,Animals often rub against trees to keep insects oﬀ   their bodies.,동물은 종종 벌레가 몸에 닿지 않도록 나무에 문지릅니다.,G0299,to부정사,to + V,중,36,Animals often rub against trees to | keep insects oﬀ   their bodies.,동물은 종종 벌레가 몸에 | 닿지 않도록 나무에 문지릅니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-42,Extra/Reading_for_Fun,Can you guess what they are?,그것들이 무엇인지 추측할 수 있나요?,G0299,의문사 구문 / 조동사,Wh-word / Modal + V,중,38,Can you guess | what they are?,그것들이 무엇인지 | 추측할 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-43,Extra/Reading_for_Fun,"Yes, the answer is ants.","네, 답은 개미입니다.",G0299,비교급,Comparative,중,,"Yes, the | answer is ants.","네, | 답은 개미입니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-44,Extra/Reading_for_Fun,We want to share with you what we have learned about these insects.,우리는 이 곤충에 관해 우리가 배운 것을 여러분과 공유하고 싶습니다.,G0299,완료시제 / to부정사,have + p.p. / to + V,중,38,We want to share with you | what we have learned about these insects.,우리는 이 곤충에 관해 우리가 | 배운 것을 여러분과 공유하고 싶습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-45,Extra/Reading_for_Fun,We often see ants come out of nowhere.,우리는 개미가 갑자기 나타나는 것을 종종 봅니다.,G0299,지각동사,see/hear + O + V(ing),중,39,We often see ants | come out of nowhere.,우리는 개미가 갑자기 | 나타나는 것을 종종 봅니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-46,Extra/Reading_for_Fun,"Like humans, they live almost everywhere in the world, except a few extremely cold places including Antarctica.",인간과 마찬가지로 그들은 남극 대륙을 포함하여 극도로 추운 몇몇 지역을 제외하고 전 세계 거의 모든 곳에 살고 있습니다.,G0299,현재분사/동명사,V-ing,중,39,"Like humans, they live almost everywhere in the | world, except a few extremely cold places including Antarctica.",인간과 마찬가지로 그들은 남극 대륙을 포함하여 극도로 추운 몇몇 | 지역을 제외하고 전 세계 거의 모든 곳에 살고 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-47,Extra/Reading_for_Fun,"As of 2018, there were over 7 billion people on Earth.",2018년 기준으로 지구상의 인구는 70억 명이 넘었습니다.,G0299,이유의 접속사 / 비교급,Because/Since + S + V / Comparative,중,,"As of 2018, there were | over 7 billion people on Earth.",2018년 기준으로 지구상의 | 인구는 70억 명이 넘었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-48,Extra/Reading_for_Fun,"Then, how about ants?",그렇다면 개미는 어떻습니까?,G0299,의문사 구문,Wh-word,중,39,"Then, how | about ants?",그렇다면 | 개미는 어떻습니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-49,Extra/Reading_for_Fun,"According to scientists, there are about one million ants for every human in the world.","과학자들에 따르면, 전 세계에는 인간 한 명당 약 백만 마리의 개미가 있다고 합니다.",G0299,to부정사 / 현재분사/동명사,to + V / V-ing,중,39,"According to scientists, there are about one | million ants for every human in the world.","과학자들에 따르면, 전 세계에는 인간 한 | 명당 약 백만 마리의 개미가 있다고 합니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-50,Extra/Reading_for_Fun,"Though each ant hardly weighs anything, one million ants are as heavy as a human being weighing about 62 kilograms.","개미 한 마리의 무게는 거의 없지만, 백만 마리의 개미는 약 62kg의 인간 무게만큼 무겁습니다.",G0299,양보의 접속사 / 이유의 접속사,Though + S + V / Because/Since + S + V,중,39,"Though each ant hardly weighs anything, one million ants are | as heavy as a human being weighing about 62 kilograms.","개미 한 마리의 무게는 거의 없지만, 백만 | 마리의 개미는 약 62kg의 인간 무게만큼 무겁습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-51,Extra/Reading_for_Fun,02 Some ants can carry things that are 50 times their own body weight.,02 어떤 개미들은 자기 몸무게의 50배나 되는 물건을 옮길 수 있어요.,G0299,접속사/관계대명사 that / 조동사,that + S + V / N + that / Modal + V,중,40,02 Some ants can carry things that | are 50 times their own body weight.,02 어떤 개미들은 자기 몸무게의 | 50배나 되는 물건을 옮길 수 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-52,Extra/Reading_for_Fun,04 An ant has two stomachs.,04 개미는 위가 두 개 있어요.,G0299,일반 문장,-,중,40,04 An ant | has two stomachs.,04 개미는 위가 | 두 개 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-53,Extra/Reading_for_Fun,"One stomach holds food for itself, and the other holds food to share with others.","한 위는 스스로 음식을 담고 있고, 다른 위는 다른 사람과 나누어 먹을 음식을 담고 있습니다.",G0299,to부정사 / 비교급,to + V / Comparative,중,40,"One stomach holds food for itself, and | the other holds food to share with others.","한 위는 스스로 음식을 담고 있고, 다른 | 위는 다른 사람과 나누어 먹을 음식을 담고 있습니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-54,Extra/Reading_for_Fun,05 Most ants can swim and live 24 hours underwater.,05 대부분의 개미는 헤엄을 칠 수 있고 물 속에서 24시간 동안 살아갈 수 있습니다.,G0299,조동사 / 비교급,Modal + V / Comparative,중,40,05 Most ants can swim | and live 24 hours underwater.,05 대부분의 개미는 헤엄을 칠 수 있고 | 물 속에서 24시간 동안 살아갈 수 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-55,Extra/Reading_for_Fun,03 Ants do not have lungs but breathe through small holes in their bodies.,03 개미는 폐가 없지만 몸에 있는 작은 구멍으로 숨을 쉰다.,G0299,사역동사,make/have/let + O + V,중,40,03 Ants do not have lungs but | breathe through small holes in their bodies.,03 개미는 폐가 없지만 몸에 | 있는 작은 구멍으로 숨을 쉰다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-56,Extra/Reading_for_Fun,Ants live in colonies which have lots of residents living together.,개미는 많은 주민이 함께 생활하는 군집을 이루고 살아요.,G0299,관계대명사 / 현재분사/동명사,Relative Pronoun / V-ing,중,40,Ants live in colonies which | have lots of residents living together.,개미는 많은 주민이 함께 | 생활하는 군집을 이루고 살아요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-57,Extra/Reading_for_Fun,"Within a colony, there are usually three different types of ants.",군체 내에는 일반적으로 세 가지 유형의 개미가 있습니다.,G0299,일반 문장,-,중,40,"Within a colony, there are | usually three different types of ants.",군체 내에는 일반적으로 세 | 가지 유형의 개미가 있습니다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L02-58,Extra/Reading_for_Fun,"There is the queen, and what she does her entire life is lay eggs.","여왕벌이 있는데, 여왕벌이 평생 하는 일은 알을 낳는 것입니다.",G0299,의문사 구문 / 비교급,Wh-word / Comparative,중,,"There is the queen, and what she | does her entire life is lay eggs.","여왕벌이 있는데, 여왕벌이 평생 | 하는 일은 알을 낳는 것입니다.",Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L02-59,Extra/Reading_for_Fun,The second type of ant is the male that helps the queen produce these eggs.,두 번째 유형의 개미는 여왕개미가 알을 생산하도록 돕는 수컷입니다.,G0299,접속사/관계대명사 that,that + S + V / N + that,중,40,The second type of ant is the | male that helps the queen produce these eggs.,두 번째 유형의 개미는 | 여왕개미가 알을 생산하도록 돕는 수컷입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-60,Extra/Reading_for_Fun,The third type of ant is the worker.,세 번째 유형의 개미는 일개미입니다.,G0299,비교급,Comparative,중,40,The third type of | ant is the worker.,세 번째 | 유형의 개미는 일개미입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-61,Extra/Reading_for_Fun,"Worker ants are all female and do very important jobs, like caring for eggs, defending the colony, and collecting food.","일개미는 모두 암컷이며 알을 돌보고, 군체를 방어하고, 식량을 모으는 등 매우 중요한 일을 합니다.",G0299,현재분사/동명사 / 비교급,V-ing / Comparative,중,40,"Worker ants are all female and do very important jobs, | like caring for eggs, defending the colony, and collecting food.","일개미는 모두 암컷이며 알을 돌보고, 군체를 방어하고, | 식량을 모으는 등 매우 중요한 일을 합니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-62,Extra/Reading_for_Fun,What Is the Ant Society Like?,개미사회는 어떤가요?,G0299,의문사 구문,Wh-word,중,40,What Is the | Ant Society Like?,개미사회는 | 어떤가요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-63,Extra/Reading_for_Fun,"Though ants do not speak like humans, they actually have a “language.",개미는 인간처럼 말하지는 않지만 실제로는 '언어'를 가지고 있습니다.,G0299,양보의 접속사,Though + S + V,중,40,"Though ants do not speak like | humans, they actually have a “language.",개미는 인간처럼 말하지는 않지만 | 실제로는 '언어'를 가지고 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-64,Extra/Reading_for_Fun,” Ants produce a chemical called a pheromone to communicate with one another.,개미는 페로몬이라는 화학물질을 생산해 서로 소통한다.,G0299,to부정사 / 비교급,to + V / Comparative,중,40,” Ants produce a chemical called | a pheromone to communicate with one another.,개미는 페로몬이라는 화학물질을 | 생산해 서로 소통한다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-65,Extra/Reading_for_Fun,"By using the chemical, they can exchange information about food or danger.",화학물질을 사용함으로써 그들은 음식이나 위험에 대한 정보를 교환할 수 있습니다.,G0299,조동사 / 현재분사/동명사,Modal + V / V-ing,중,,"By using the chemical, they can | exchange information about food or danger.",화학물질을 사용함으로써 그들은 음식이나 위험에 | 대한 정보를 교환할 수 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-66,Extra/Reading_for_Fun,Ants also use touch for communication.,개미는 또한 의사소통을 위해 접촉을 사용합니다.,G0299,일반 문장,-,중,,Ants also use | touch for communication.,개미는 또한 의사소통을 | 위해 접촉을 사용합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-67,Extra/Reading_for_Fun,"For example, if an ant fi  nds food, it passes on the good news by rubbing its body on its neighbor.","예를 들어, 개미가 먹이를 찾으면 이웃에게 몸을 비비면서 좋은 소식을 전합니다.",G0299,조건의 접속사 / 현재분사/동명사,If/Unless + S + V / V-ing,중,40,"For example, if an ant fi  nds food, it passes | on the good news by rubbing its body on its neighbor.","예를 들어, 개미가 먹이를 찾으면 | 이웃에게 몸을 비비면서 좋은 소식을 전합니다.",Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L02-68,Extra/Reading_for_Fun,"Since an ant has legs covered with very sensitive hairs, it can sense even the smallest touch.",개미는 매우 민감한 털로 덮여 있는 다리를 가지고 있기 때문에 아주 작은 접촉이라도 감지할 수 있습니다.,G0299,이유의 접속사 / 조동사,Because/Since + S + V / Modal + V,중,40,"Since an ant has legs covered with very | sensitive hairs, it can sense even the smallest touch.",개미는 매우 민감한 털로 덮여 있는 다리를 가지고 | 있기 때문에 아주 작은 접촉이라도 감지할 수 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-69,Extra/Reading_for_Fun,How Do Ants Communicate?,개미는 어떻게 의사소통을 하나요?,G0299,의문사 구문,Wh-word,중,40,How Do | Ants Communicate?,개미는 어떻게 | 의사소통을 하나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-70,Extra/Reading_for_Fun,Ants don’t live in Antarctica.,개미는 남극 대륙에 살지 않습니다.,G0299,일반 문장,-,중,41,Ants don’t | live in Antarctica.,개미는 남극 | 대륙에 살지 않습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-71,Extra/Reading_for_Fun,T F Number There are about one ants for every human in the world.,T F 숫자 세상에는 인간 한 명당 개미 한 마리 정도가 있습니다.,G0299,비교급,Comparative,중,41,T F Number There are about one | ants for every human in the world.,T F 숫자 세상에는 인간 한 | 명당 개미 한 마리 정도가 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-72,Extra/Reading_for_Fun,Society Ants live in a(n) .,사회 개미는 a(n) 에 살고 있습니다.,G0299,일반 문장,-,중,41,Society Ants live | in a(n) .,사회 개미는 a(n) | 에 살고 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-73,Extra/Reading_for_Fun,It usually has diﬀ  erent types of ants.,일반적으로 다양한 종류의 개미가 있습니다.,G0299,일반 문장,-,중,41,It usually has diﬀ |  erent types of ants.,일반적으로 다양한 | 종류의 개미가 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-74,Extra/Reading_for_Fun,Communication Ants use a special and the sense of TBZJOHTBCPVUJOTFDUT Connect to Culture TBZJOHTBCPVUJOTFDUT TBZJOHTBCPVUJOTFDUT TBZJOHTBCPVUJOTFDUT t&WFOBOBOUDBOIVSUBOFMFQIBOUu (SFFDF Male ants defend the colony.,의사소통 개미는 특별한 의미와 감각을 사용합니다. TBZJOHT BCPVU JOTFDUT 문화에 연결 TBZJOHT BCPVU JOTFDUT TBZJOHT BCPVU JOTFDUT TBZJOHT BCPVU JOTFDUT t&WFO BO BOU DBO IVSU BO FMFQIBOU u (SFFDF 수컷 개미는 식민지를 방어합니다.,G0299,to부정사,to + V,중,41,Communication Ants use a special and the sense of TBZJOHTBCPVUJOTFDUT Connect | to Culture TBZJOHTBCPVUJOTFDUT TBZJOHTBCPVUJOTFDUT TBZJOHTBCPVUJOTFDUT t&WFOBOBOUDBOIVSUBOFMFQIBOUu (SFFDF Male ants defend the colony.,의사소통 개미는 특별한 의미와 감각을 사용합니다. TBZJOHT BCPVU JOTFDUT 문화에 연결 TBZJOHT BCPVU JOTFDUT TBZJOHT BCPVU | JOTFDUT TBZJOHT BCPVU JOTFDUT t&WFO BO BOU DBO IVSU BO FMFQIBOU u (SFFDF 수컷 개미는 식민지를 방어합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-75,Extra/Reading_for_Fun,T F Ants’ legs are covered with sensitive hairs.,T F 개미의 다리는 민감한 털로 덮여 있습니다.,G0299,수동태,be + p.p.,중,41,T F Ants’ legs | are covered with sensitive hairs.,T F 개미의 다리는 | 민감한 털로 덮여 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-76,Extra/Reading_for_Fun,T F Ants use their lungs to breathe.,T F 개미는 숨을 쉬기 위해 폐를 사용합니다.,G0299,to부정사,to + V,중,41,T F Ants use | their lungs to breathe.,T F 개미는 숨을 | 쉬기 위해 폐를 사용합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-77,Extra/Reading_for_Fun,T F Worker ants are all male and do many kinds of jobs in a colony.,T F 일개미는 모두 수컷이며 군체에서 다양한 종류의 일을 합니다.,G0299,비교급,Comparative,중,41,T F Worker ants are all male and | do many kinds of jobs in a colony.,T F 일개미는 모두 수컷이며 | 군체에서 다양한 종류의 일을 합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-78,Extra/Reading_for_Fun,Food Collection Honeybees visit to collect food.,음식 수집 꿀벌은 음식을 수집하기 위해 방문합니다.,G0299,to부정사,to + V,중,42,Food Collection Honeybees | visit to collect food.,음식 수집 꿀벌은 | 음식을 수집하기 위해 방문합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-79,Extra/Reading_for_Fun,Home Honeybees are found in warm places around the world.,홈 꿀벌은 전 세계의 따뜻한 곳에서 발견됩니다.,G0299,일반 문장,-,중,42,Home Honeybees are found in | warm places around the world.,홈 꿀벌은 전 | 세계의 따뜻한 곳에서 발견됩니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
